country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Bulgaria,0.1988399,0.1128892,0.1266708,0.1984848,0.1595584,0.1258016,0.231466,0.156433,0.1480439,0.087952,0.0824589,0.2223374,0.0617617
Burkina Faso,45.021423,3.2571049,1.5428562,6.5136566,12.7983953,3.6008834,2.1710076,3.6012071,3.4302986,5.2663253,11.5955981,0.285927,0.1714381
Burundi,0.263354,0.1833336,0.2463522,0.1141057,0.1830873,0.0638355,0.3459134,0.3714321,0.1640562,0.3538398,0.1785103,0.1462484,0.196345
C̫te d'Ivoire,0.8250814,0.9719871,0.5801411,0.3230653,0.4392002,0.6574497,0.610953,0.8576466,0.7320539,0.6218922,0.8383424,0.5283985,0.9269945
Cambodia,0.3233753,0.6227048,0.6451034,0.8995041,0.7338028,0.9137518,0.8816783,0.9476042,1.3737883,2.6999949,2.18084,2.1835352,2.0200379
Cameroon,0.124753,0.0914078,0.0804946,0.0731065,0.0799341,0.1143957,0.1459403,0.111711,0.1146668,0.1843626,0.0878031,0.1446855,0.2187485
Canada,0.3248631,0.5541839,0.3844512,0.647367,0.6986345,0.5755449,0.5065876,0.4661896,0.3708386,0.5034726,0.5168254,0.6024972,0.6390219
Cape Verde,0.0970159,0.3104152,0.1213333,0.0080904,0.074488,0.0818962,0.0080447,0.0020139,0.1081734,0.0121284,0.223077,0.0636876,0.1036997
Cayman Islands,0.1536707,0.0415966,0.0469951,0.3499904,0.0680653,0.133444,0.1327359,0.2403421,0.2220422,0.295677,0.2955383,0.0561486,0.1058936
Central African Republic,0.0664584,0.0731291,0.0292014,0.0309923,0.0623066,0.1229817,0.0792763,0.0676767,0.1025287,0.1031957,0.1043607,0.1052786,0.0685317
Chad,0.2049193,0.477532,0.0472978,0.110599,0.1149765,0.7269195,0.2438378,0.8276309,0.2518279,0.061793,0.2245795,0.5770264,0.622945
Chile,0.3769952,0.4048357,0.4295297,0.4444889,0.554391,0.4766058,0.6307458,0.6380875,0.4592024,0.4743882,0.5151109,0.8997976,0.5114135
China,0.1415016,0.1530963,0.1608444,0.3081685,0.2357036,0.3534613,0.4012261,0.4534564,0.3684259,0.3857675,0.3678039,0.3606543,0.2361126
Christmas Island,,,,,,,,,,,,,
Clipperton Island,,,,,,,,,,,,,
Cocos Islands,,,,,,,,,,,,,
Colombia,0.2810142,0.2225964,0.1495519,0.3100121,0.2305736,0.232071,0.3287517,0.2832795,0.2907034,0.2407909,0.2319846,0.2667703,0.1477263
Comoros,0.0274317,0.0305703,0.0197748,0.0299618,0.0642201,0.009618,0.0576687,0.025933,0.0832488,0.0684798,0.0909692,0.0671916,1.0837068
Cook Islands,,,,,,,,,,,,,
Costa Rica,0.3951374,0.33961,0.2111046,0.2496026,0.4232683,0.2570757,0.2925571,0.5590295,0.5740948,0.3359369,0.2682266,0.2526612,0.1594076
Croatia,0.1389576,0.0962495,0.0715244,0.2766875,0.1129914,0.0906589,0.1331451,0.1600291,0.1193859,0.1439244,0.120046,0.190336,0.0946859
Cuba,0.4718495,0.3745284,0.1633206,0.5473443,0.3196726,0.3065078,0.1961277,0.4255393,0.4050184,0.2144192,0.4063349,0.2507509,0.1313132
Cura̤ao,0.0171611,0.0243178,0.0157386,0.0114403,0.0128745,0.065784,0.0800828,0.1044072,0.088676,0.0328827,0.0257507,0.1387701,0.0700918
Cyprus,0.0956242,0.0347499,0.0270331,0.1021248,0.0375852,0.0747842,0.7755085,0.1136263,0.0786517,0.0721094,0.1305149,0.054916,0.0187675
Czech Republic,0.1124193,0.2202482,0.1276393,0.4333398,0.8309933,0.2791436,0.6879287,0.5479937,0.4376923,0.5005184,0.7088245,0.4423483,0.1825738
Democratic Republic of the Congo,0.2286042,0.2581419,0.1378506,0.2008008,0.2435528,0.2273998,0.232253,0.2031832,0.3188037,0.4067193,0.2155196,0.2947212,0.4054236
Denmark,0.6526438,0.1816075,0.2381819,0.3639437,1.364357,0.786099,0.6606151,0.9138271,1.0020052,0.6676684,0.4722858,0.6632474,0.2720498
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,0.0321364,0.0167426,0.038405,0.1118862,0.0737726,0.0357881,0.0568207,0.1316516,0.1040261,0.1298845,0.0626905,0.2000754,0.0248021
Dominican Republic,0.4365255,0.4050472,0.4158321,0.7524773,0.9737305,0.5206205,0.6232833,0.8388079,0.5420778,0.5473497,0.5030196,0.6694465,0.4059266
East Timor,0.0933085,0.22094,0.0951212,0.2839648,0.1806095,0.4034073,0.2142332,0.114687,0.362761,0.0890917,0.2015459,0.2357272,0.0316818
Ecuador,0.2372921,0.1573547,0.0731512,0.1969888,0.2127231,0.1876026,0.3183854,0.2730902,0.3031209,0.1778706,0.229315,0.3731442,0.2074349
Egypt,0.095762,0.0316344,0.0395399,0.0657462,0.0341216,0.0247082,0.0507245,0.0527962,0.0386044,0.063629,0.0665071,0.2328196,0.0249227
El Salvador,0.9606762,0.4719254,0.6051333,0.460642,0.5947013,0.4656356,0.3017888,0.3362164,0.4332124,0.2905491,0.3278865,0.2465481,0.1417959
Equatorial Guinea,0.1348989,0.1124549,0.0740754,0.0158764,0.0606992,0.0474042,0.1182529,0.1815058,0.2145254,0.2479335,0.2906817,0.1797836,0.2488609
Eritrea,54.8987989,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0.6392457,0.8304217,0.2134008,0.6859902,0.5614175,0.8233512,0.6133371,0.6931997,0.713137,0.8144315,1.030499,0.6551329,0.5785761
Ethiopia,0.0992664,0.1086083,0.1157457,0.1112633,0.1318201,0.1003028,0.2128009,0.1994118,0.2432313,0.1676394,0.1286374,0.2988931,0.1655857
Falkland Islands,,,,,,,,,,,,,
Faroe Islands,,,,,,,,,,,,,
Fiji,0.0693683,0.0444362,0.0993505,0.1314247,0.1052526,0.1184456,0.1357629,0.1508568,0.1131579,0.1482934,0.0349319,0.0699249,0.1537345
Finland,0.6982487,0.6587041,0.4139522,0.678911,1.0657439,0.8418272,0.7016661,0.9293566,0.8163278,0.7753097,0.7376897,0.7302151,0.6337719
France,0.2050915,0.2019186,0.1572611,0.4536335,0.2764081,0.3280028,0.2934179,0.5180987,0.3995291,0.8536397,0.3817774,0.3939751,0.1479721
French Guiana,0.0371591,0.0305865,0.0231427,0.0588652,0.0347983,0.0310553,0.0407709,0.0639896,0.0350611,0.0392705,0.0331848,0.1182623,0.0334891
French Polynesia,,,,,,,,,,,,,
French Southern Territories,0,0,0,0,0,0,0,0,0,8.8420067,0,0,0
Gabon,0.0610853,0.0561192,0.0682261,0.0404187,0.0716726,0.0781581,0.0668184,0.0703465,0.0739181,0.0432242,0.0735676,0.0656091,0.1628688
Gambia,0.0748676,0.9111846,0.2343386,1.4221356,0.1301856,0.1415763,1.0870738,6.6875172,0.1985347,0.5190961,0.6802384,0.8869493,0.242534
Georgia,0.021197,0.0170593,0.0092859,0.0625524,0.0174586,0.0168974,0.0315606,0.0237112,0.0142584,0.0260319,0.0171633,0.0142065,0.0067881
Germany,0.1220154,0.1221538,0.0515652,0.3597775,0.3173624,0.3408233,0.7453364,0.493085,0.2302061,0.6045749,0.2742328,0.2035604,0.0959566
Ghana,0.62746,1.1270634,0.3587756,0.2533938,0.5944283,0.3901369,0.5775473,0.5441433,0.5499473,0.2803479,0.5210504,0.4480169,0.8732875
Gibraltar,0.1562621,0.1041516,0,0,0,0,0,0,0,0,0,0.0520785,0
Greece,0.3435844,0.1396599,0.0698247,0.1853716,0.1137987,0.2000864,1.2549889,0.5773785,0.1788101,0.2120954,0.1688774,0.3548931,0.1375823
Greenland,,,,,,,,,,,,,
Grenada,0.114987,0.2307311,0.2500359,2.2114277,0.1664225,0.1105052,0.2376531,0.2249255,0.3286196,0.5591709,0.1408335,0.1345092,0.0545846
Guadeloupe,0.338444,0.0537004,0.0811304,0.2017457,0.2354212,0.0657132,0.1670606,0.1423199,0.1248695,0.134433,0.0779955,0.2881884,0.1304895
Guam,,,,,,,,,,,,,
Guatemala,0.6929211,0.722702,1.2760683,0.7337296,1.3105906,0.6831535,1.6449836,1.0030938,1.1301027,0.7755694,0.5275458,1.0218757,0.6125652
Guernsey,0.0634978,0.0033382,0,0.0066809,0,0.0100286,0,0.0167115,0.0534501,0.0100234,0.033431,0.0400932,0.0066792
Guinea,0.2275762,0.3545898,0.1131086,0.2102825,0.1786963,0.1875771,0.4144737,0.2632652,0.2866155,0.1966426,0.3387164,0.2505272,1.5927398
Guinea-Bissau,0.2208808,0.5679052,0.0954304,0.3307491,0.367175,0.1887032,0.5651354,0.3034562,0.7444049,0.4580956,0.4004814,0.291053,1.7536177
Guyana,0.0528523,0.0254126,0.0390534,0.0213853,0.0307019,0.0312368,0.0276353,0.0498009,0.0435196,0.053163,0.0440248,0.0675833,0.0340452
Haiti,0.2876139,0.2470241,0.124678,0.2776246,0.2368118,0.1354762,0.2420114,0.2553415,0.2871635,0.2428529,0.2987525,0.4579936,0.1967595
Heard Island and McDonald Islands,,,,,,,,,,,,,
Honduras,0.5475134,0.4073133,0.4344016,0.3417755,0.5228543,0.537833,0.5479305,0.5593845,0.6655159,0.5953807,0.6791768,0.4034122,0.5034681
Hong Kong,0.0128634,0.0251611,0.0113741,0.0304432,0.0141317,0.0335531,0.0476865,0.0427373,0.0807621,0.0207895,0.0249307,0.0224077,0.0057436
Hungary,0.3780188,0.3874346,0.2878189,0.6035777,0.5225859,0.4014446,0.4700834,0.447882,0.5058467,0.5658874,0.4133304,0.5530907,0.3220124
Iceland,,,,,,,,,,,,,
India,0.1606245,0.1365673,0.123005,0.1909362,0.1609926,0.173528,0.1903272,0.2213276,0.2039422,0.1319076,0.2277101,0.2103089,0.1714781
Indonesia,0.462954,0.5323414,0.3388137,0.8017009,0.735524,0.8913982,0.8627695,0.8679558,1.209238,0.7955703,0.9596351,1.3839806,0.6471261
Iran,0.0192001,0.0322088,0.0188647,0.0159385,0.0099916,0.0081302,0.0075683,0.0216092,0.0110464,0.0113064,0.0137966,0.0229779,0.0033969
Iraq,0.0915609,0.0606729,0.1120712,0.0252601,0.0260309,0.0356496,0.0590074,0.1017089,0.0902469,0.076643,0.0187967,0.0475824,0.012339
Ireland,1.1359083,0.6295703,0.2688858,0.8158282,0.961719,0.6236284,1.3881066,0.8227216,0.8591936,0.4580337,0.3694077,0.6830244,0.5182587
Isle of Man,0.120869,0.1033873,0.0137495,0.0649074,0.0809061,0.1985638,0.2299163,0,0.3564962,0.3779664,0.0910896,0.2344343,0.1146518
Israel,0.4923083,0.3796441,0.1017699,0.2279431,0.4636274,0.4181282,0.1621193,0.2190322,0.3149072,0.3011131,3.6013149,0.1549421,0.1175855
Italy,0.1059291,0.1173009,0.0387724,0.1848368,0.1169235,0.0955242,0.1243706,0.1626105,0.1587376,0.1696152,0.1228745,0.2174386,0.1450321
Jamaica,0.1621781,0.2144045,0.1339433,0.5076717,0.9887378,0.3640731,0.1652588,0.2637708,0.4604499,0.3077596,0.310398,0.3323407,0.1490788
Japan,0.0908673,0.0991161,0.0748367,0.1414036,0.1378919,0.1477018,0.1727568,0.154769,0.1549803,0.1354643,0.1362604,0.1688096,0.075198
Jersey,0.2384779,0.0522831,0,0.0751295,0,0.0130768,0,0.1339401,0.0816425,0.4735845,0.2057279,0.4212846,0
Jordan,0.022982,0.0086335,0.002873,0.1006026,0.0028793,0.0344967,0.0172543,0,0,0.002875,0,0.0028727,0
Kazakhstan,0.1069444,0.0696164,0.0790517,0.1300234,0.0746798,0.0740952,0.1086178,0.1072756,0.1517103,0.073322,0.1144396,0.0874306,0.0635764
Kenya,0.5734183,0.6114078,0.4086336,0.5119282,0.3841451,0.6225159,0.7867121,0.5792584,0.5332113,0.6839913,0.521454,0.5084259,0.3656388
Kiribati,,,,,,,,,,,,,
Kosovo,0.3031148,0.0580479,0.0705853,0.1547276,0.0847679,0.1404517,0.2190626,0.3087752,0.2098756,0.1264846,0.2166263,0.4512402,0.0832533
Kuwait,,,,,,,,,,,,,
Kyrgyzstan,0.08739,0.0455129,0.01643,0.0284765,0.0121833,0.0164496,0.0159061,0.0158226,0.0297924,0.0386402,0.0165803,0.0124567,0.0035939
Laos,0.1907837,0.2925438,0.455351,0.3360078,0.3572261,0.641527,0.6955382,0.4212844,0.7612338,0.8737865,0.6847877,0.6254762,0.9108727
Latvia,0.7009305,0.8210475,0.6000104,0.8622158,1.1456922,1.0945089,1.0167068,0.8247713,0.9825835,1.3650499,1.2589702,0.9422078,0.6860751
Lebanon,0.4593775,0.1236662,0.1286898,0.1680263,0.460591,0.2413656,0.4190102,0.6044619,0.5222273,0.177169,0.2138467,0.2499906,0.171329
Lesotho,0.018523,0.0436594,0.0403702,0.0722264,0.028355,0.0383309,0.0457922,0.0896404,0.0794489,0.0612974,0.0642844,0.0503327,0.0809419
Liberia,0.3109915,0.6072029,0.2302133,0.0664218,0.1206617,0.3859609,0.4718536,0.3854403,0.8006187,0.2169233,0.367026,0.7004236,1.5132505
Libya,0.251027,0.5889888,0.3697597,0.1501997,0.3194164,0.2385839,0.0627968,0.083705,0.0808297,0.1377765,0.1388496,0.0674673,0.808046
Liechtenstein,0.0377196,0,0,0.1038945,0.0609457,0.1277698,0.0929119,0.0975139,0.051645,0.030757,0.0203026,0.0400456,0.0110258
Lithuania,0.34059,0.4428609,0.3815479,0.5606009,0.8726073,0.7471716,0.6863441,0.6507719,0.6165241,0.9274206,0.9306894,0.7415198,0.549455
Luxembourg,0.0670696,0.0893674,0.0992683,0.3052962,0.06815,0.3586879,0.4992513,0.9571186,0.2135952,0.8628245,0.4356924,0.4274511,0.2884536
Macao,0.355325,0.2309517,0,0,0,0.8704349,0.8882782,0.0710649,0.444132,0,0.1776475,0.1776506,0.0177648
Macedonia,0.2635123,0.1138785,0.1145238,0.2814973,0.1671595,0.261244,0.4940982,0.5066278,0.5501807,0.2844093,0.2758991,0.3632095,0.0651749
Madagascar,0.5073006,0.5210726,0.4914972,0.4774799,0.5462206,0.414408,1.1001641,0.7205043,0.7965468,0.6255081,0.9469848,0.6846996,1.5974448
Malawi,0.1635153,0.2753093,0.4674197,0.3753938,0.6206757,0.3655711,0.4924922,0.6390281,0.2648535,0.2616708,0.5399214,0.7269695,0.5831533
Malaysia,1.129862,1.0611979,0.625124,1.1958038,1.2760615,1.1348991,1.3770973,1.2507463,2.1168525,1.4627931,1.573716,2.1060068,1.0577583
Maldives,0.0814493,0.0787821,0.0367919,0.0407292,0.0617704,0.0670755,0.1063466,0.1142358,0.0880031,0.0538428,0.1813604,0.0289568,0.0236225
Mali,1.3863435,0.6984219,0.1364388,0.6108541,0.3315712,0.4132147,0.4983857,0.4209282,0.6283159,0.2147199,0.6605513,0.305401,1.4925015
Malta,1.0094652,1.4134802,0.1008797,2.019112,0.3025744,0.5046754,0.6562286,0.757319,1.3622767,0.5551597,1.1601806,0.151411,0.0504995
Marshall Islands,,,,,,,,,,,,,
Martinique,0.2584944,0.0654554,0.386431,0.223704,0.2743131,0.1221414,0.2085409,0.3725708,0.2669072,0.1009605,0.2049476,0.3999891,0.1322015
Mauritania,95.5643607,0,3.7707343,0.2212357,0.2218165,0,0,0,0,0,0,0,0
Mauritius,0.2195943,0.2165771,0.167773,0.4611578,0.244319,0.1998286,0.1847147,0.2645483,0.3391877,0.0326309,0.6834313,0.1320442,0.2205441
Mayotte,0.0932264,0.0621531,0.0921041,0.0152032,0.1021761,0.1238546,0.059698,0.1274419,0.0169897,0.0950206,0.0069312,0.2829941,0.8794354
Mexico,0.297645,0.2986428,0.2868434,0.3193375,0.3889321,0.3366414,0.4110169,0.3466697,0.528779,0.3134868,0.3511715,0.3090811,0.3513423
Micronesia,0,0,0,0,0,0,0,0,0,1.2421555,0,0,0
Moldova,0.0428722,0.0615429,0.0281041,0.07409,0.0308687,0.0483001,0.0642994,0.0350142,0.0526334,0.0505469,0.0535394,0.4918084,0.0304122
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0.5147758,0.4578458,0.9395958,1.3031009,0.182541,0.3239061,1.1754584,1.3690675,1.9995911,0.2142643,0.0867996,0.8390571,0.0096587
Montenegro,0.1392665,0.0291384,0.0330424,0.1484776,0.0279486,0.0284775,0.1705645,0.2318465,0.0916831,0.034219,0.080189,0.1860807,0.2045307
Montserrat,0.1544683,0.0354112,0.0498864,0.1673766,0.5312,0.2752325,0.2285609,0.1432377,0.1062197,2.3851912,0.1384195,0.043449,0.0112676
Morocco,0.2880631,0.6049498,0.3149281,0.2221162,0.2353457,0.3425659,0.3874792,0.5256904,0.1846214,0.1523472,0.5230686,0.2344622,0.0954899
Mozambique,0.210156,0.3687907,0.2753418,0.3725425,0.5205695,0.5957607,0.4789747,0.7081716,0.7522798,0.6729433,0.5197134,0.4214134,0.4489765
Myanmar,0.1045198,0.1542596,0.1801734,0.2384178,0.2142889,0.2973867,0.3420288,0.2781313,0.5046605,0.3964239,0.3166173,0.4629901,0.475947
Namibia,10.707,2.7693684,5.3629222,1.5759526,1.6562547,0.4386743,2.058367,0.8643847,2.2046847,0.698363,1.8371162,0.6723303,0.018453
Nauru,,,,,,,,,,,,,
Nepal,0.0295133,0.0412444,0.0444084,0.0480443,0.053445,0.0630688,0.067146,0.0579705,0.1070353,0.0454888,0.0545715,0.0963572,0.0119823
Netherlands,0.1248692,0.1393087,0.0529292,0.218635,0.2476498,0.2500208,0.2789908,0.1913645,0.2618984,0.5720147,0.194118,0.1586655,0.0731097
New Caledonia,0.0484556,0.0435224,0.0613689,0.1048511,0.1021769,0.1481973,0.0677006,0.0362264,0.0677476,0.0382149,0.0492356,0.0538788,0.1308416
New Zealand,0.4478781,0.5605317,0.397121,0.5379056,0.4655648,0.5466926,0.5553379,0.5440685,0.5284467,0.4975364,0.5313766,0.6090837,0.6690542
Nicaragua,0.5671964,0.696874,0.603894,0.2708662,1.2235149,0.4998895,1.1379967,0.6919848,1.068526,2.7327329,0.5566518,0.4205762,0.4914343
Niger,6.4497444,29.0468645,9.6446718,3.2282867,0,0,3.2280113,0,0,0,0,3.2105121,0
Nigeria,0.4324233,0.3224937,0.1334204,0.1460262,0.1323243,0.2608337,0.2449202,0.2737903,0.2521218,0.3267086,0.5373212,0.3179975,0.3633804
Niue,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,
North Korea,0.2298818,0.1031144,0.1414227,0.2185857,0.3180769,0.242096,0.2557411,0.3614625,0.2523618,0.3660353,0.1045238,0.315046,0.0786651
Northern Mariana Islands,,,,,,,,,,,,,
Norway,0.1920433,0.2274948,0.1266627,0.2887193,0.2133033,0.3476713,0.2724925,0.2890443,0.1994463,0.3429503,0.2803923,0.2497988,0.2498143
Oman,0,0,0,0,0,0,0,19.2439942,0,0,0,0,0
Outside any,0,0.0405325,0.0348748,0.0115471,0.0057561,0.0289078,0.0115547,0.0751117,0.0580345,0.0173282,0,0.0696169,0
Pakistan,0.0222519,0.03321,0.0655693,0.1193531,0.0968862,0.1374661,0.1147965,0.1077164,0.0940846,0.0735928,0.047349,0.0234636,0.0044003
Palau,0.1262912,0.182488,0.042714,0.0722909,0.1052018,0.0844989,0.2196556,0.1564216,0.0732198,0.0793187,0.074138,0.0615688,0.0281109
Palestina,0.3609604,0.2976887,0.234009,0.1919901,0.0742923,0.1176605,0.191903,0.4141395,0.2024665,0.2131734,0.0425087,0.0744558,0.0535458
Panama,0.3203943,0.3368144,0.1979333,0.2953419,0.2166336,0.602099,0.3621523,0.7007306,0.6481322,0.2701952,0.4052987,0.2869259,0.203928
Papua New Guinea,0.0838645,0.1271739,0.0740731,0.1359201,0.090878,0.1313408,0.1145405,0.1654765,0.1146734,0.1601413,0.1235773,0.1615703,0.1116275
Paraguay,0.618346,0.8030852,1.1001794,1.0180239,1.0810063,0.6101871,1.7542019,1.5489353,1.4536181,1.8204009,1.8817062,2.0750798,1.236032
Peru,0.1101758,0.1030581,0.0946214,0.129787,0.2088198,0.1139062,0.1482696,0.1621872,0.2278999,0.1823131,0.1604791,0.3445551,0.2488956
Philippines,0.1890661,0.1737107,0.189007,0.2611859,0.2676513,0.3087652,0.3575275,0.208086,0.3273738,0.5518956,0.1787844,0.3028476,0.2520291
Pitcairn Islands,,,,,,,,,,,,,
Poland,0.1825465,0.297106,0.3184702,0.4008462,0.7880207,0.3603522,0.5486756,0.458543,0.4489699,0.6868359,0.5418707,0.5145349,0.2910314
Portugal,1.0599597,1.5159012,1.1657132,2.4023885,1.6909765,1.8487139,1.5775125,1.4599445,1.7311681,2.1021297,1.1584354,2.4058396,1.9861435
Puerto Rico,0.239139,0.2230483,0.2280118,0.2527579,0.2459454,0.2373509,0.1981016,0.2321011,0.1819148,0.1136688,0.2344416,0.1182248,0.1093134
Qatar,,,,,,,,,,,,,
Republic of Congo,0.1024161,0.0920983,0.0701532,0.0524108,0.0714249,0.0839519,0.1128106,0.0658091,0.0722598,0.1691885,0.107465,0.1123136,0.1758069
Reunion,0.0167867,0.2948642,0.083665,0,0.1321745,0.3689093,0,0.0088578,0.1098035,0.1310265,0.3299122,0.403798,0.7684453
Romania,0.2211665,0.2069327,0.1185744,0.2379089,0.2449115,0.1648745,0.4810997,0.2212851,0.2040313,0.2238404,0.2132693,0.372497,0.106702
Russia,0.2400079,0.3548242,0.3981526,0.462652,0.2089212,0.2934741,0.307344,0.4005023,0.2774695,0.2443485,0.3970202,0.70282,0.6027027
Rwanda,0.3034429,0.1897452,0.2133919,0.2256415,0.1652974,0.1501175,0.287919,0.2207822,0.2781432,0.4830849,0.1862257,0.1933455,0.3988326
Saint Helena,,,,,,,,,,,,,
Saint Kitts and Nevis,0.3439654,0.149252,0.2424396,0.1891133,0.1425589,0.1542572,0.0926616,0.1720078,0.254662,0.1398075,0.0932039,0.0804495,0.0321658
Saint Lucia,0.061265,0.0215074,0.0382933,0.0792471,0.1063646,0.1934055,0.0957511,0.1106076,0.1082625,0.1968059,0.1213818,0.1288938,0.0461068
Saint Pierre and Miquelon,0,0.0019408,0,0,0,0,0.0019418,0,0,0,0.0009722,0,0.0797048
Saint Vincent and the Grenadines,0.0236908,0.0272958,0.0332132,0.0731117,0.0571443,0.036049,0.0795481,0.1439325,0.1027064,0.2260067,0.1045016,0.0813443,0.0365552
Saint-Barth̩lemy,0,0,0,0.0235706,0.0117853,0,0,0.0235726,0,0.0471424,0,0,0.0235712
Saint-Martin,0.1148184,0.2929776,0.1781724,0.0871047,0.2652792,0.1425363,0.1464953,0.1583782,0.0356348,0.0277153,0.5147206,0.1781674,0.0831472
Samoa,,,,,,,,,,,,,
San Marino,0,0.0134386,0.006724,0.0739309,0.0201614,0,0.1142744,0.0470589,0.0134483,0,0,0.0537568,0.0134432
Sao Tome and Principe,0.5432968,0,0,0,0,0,0,0,0,0,0,0,0
