,slope,intercept,r**2,p_value,stderr
Tropics,0.01124468,-22.14462165,0.640601677,0.000585284,0.002431367
Mekong,0.050257307,-100.3574912,0.897246203,2.78E-07,0.004909663
Tropics_min_mekong,0.009008442,-17.66139177,0.53117539,0.003107268,0.002443123
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,mekong = 5.02%,,,,
,tropic_min_mekong = .9,,,,
,5.577777778,,,,
